text,flow_duration,label
GET /images/products/n.jpg,21679,0
GET /assets/css/main.css,50011,0
GET /assets/css/main.css,37842,0
POST /profile/update {'email': 'test.user@example.com'},88566,0
GET /admin/login?user=//,62184,1
GET /api/v1/users?id=' OR 1=1--,6609,1
GET /blog/posts?page=4,108195,0
POST /search {'keyword': '' or 'x'='x'},7509,1
GET /products/details?productID=r,133479,0
GET /admin/login?user=' OR '1'='1,59337,1
GET /products/details?productID=1*1,6339,1
"POST /api/v1/cart/add {'item_id': '6705', 'quantity': 4}",4426,0
GET /admin/login?user=1 AND 1=1,25103,1
GET /admin/login?user=' or 1=1 limit 1 --,1106,1
POST /search {'keyword': 'user1' or 1=1 --'},28451,1
GET /images/products/I.jpg,47823,0
GET /products/details?productID=l,83763,0
GET /products/books/2,64209,0
GET /api/v1/users?id=-- or #,6566,1
"POST /login.php {'username': '-1 UNION SELECT 1 INTO @,@,@', 'password': 'password'}",7563,1
GET /admin/login?user=' AND user IS NULL; --,113645,1
"POST /login {'user': '1' ORDER BY 1,2,3--+', 'pass': 'password123'}",67426,1
GET /assets/css/main.css,135842,0
GET /admin/login?user=1*1,3532,1
POST /profile/update {'email': 'test.user@example.com'},108668,0
"POST /login {'user': 'K', 'pass': 'password123'}",7543,0
GET /index.php?page=;,91705,1
GET /search.aspx?q=OR '1'='1',1523,1
"POST /api/v1/cart/add {'item_id': '2864', 'quantity': 3}",16256,0
GET /index.php?page=' OR 1=1--,1870,1
GET /items/show.php?id=``,13668,1
GET /search?q=U,17373,0
GET /products/details?productID=' OR 'x'='x,40853,1
GET /api/v1/users?id=105-1,175,1
GET /products/details?productID=8,12586,0
GET /products/details?productID=105-1,1941,1
GET /products/details?productID=' OR 'x'='x,2577,1
"POST /login {'user': 'i', 'pass': 'password123'}",67089,0
GET /blog/posts?page=16,23301,0
GET /search.aspx?q=' AND user IS NULL; --,5438,1
GET /api/v1/users?id=2076,31101,0
GET /admin/login?user=OR '1'='1',139257,1
GET /search?q=B,55079,0
GET /search?q=m,140484,0
"POST /login {'user': 'K', 'pass': 'password123'}",71892,0
"POST /login {'user': ''admin'--', 'pass': 'password123'}",136677,1
GET /products/details?productID=AND false,4874,1
"POST /api/v1/cart/add {'item_id': '2808', 'quantity': 3}",41687,0
"POST /login {'user': '' or 1=1 limit 1 --', 'pass': 'password123'}",49814,1
GET /admin/login?user=' OR '1'='1,3312,1
GET /assets/css/main.css,56195,0
GET /search.aspx?q=1024-2,4046,1
GET /images/products/e.jpg,62585,0
POST /profile/update {'email': 'test.user@example.com'},84598,0
POST /search {'keyword': '' OR 'x'='x'},1304,1
"POST /login {'user': 'q', 'pass': 'password123'}",66145,0
GET /assets/css/main.css,14307,0
GET /images/products/h.jpg,41714,0
GET /search?q=z,4618,0
"POST /login {'user': 'smith' OR '1'='1', 'pass': 'password123'}",68221,1
